GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-rest-tp2,com.santiblanc.app.request,MessageRequest,0,24,0,0,0,11,0,7,0,7
api-rest-tp2,com.santiblanc.app.request,UserRequest,0,73,0,0,0,32,0,21,0,21
api-rest-tp2,com.santiblanc.app.entities,User,0,66,0,0,0,30,0,17,0,17
api-rest-tp2,com.santiblanc.app.entities,Message,0,61,0,0,0,25,0,15,0,15
api-rest-tp2,com.santiblanc.app.controllers,MessageController,57,291,8,20,15,60,7,14,0,7
api-rest-tp2,com.santiblanc.app.controllers,UserController,28,157,0,8,8,36,0,10,0,6
api-rest-tp2,com.santiblanc.app.controllers,LoginController,0,50,0,2,0,10,0,4,0,3
api-rest-tp2,com.santiblanc.app.controllers,NonValidMessageException,0,4,0,0,0,2,0,1,0,1
api-rest-tp2,com.santiblanc.app.response,UserWrapper,0,38,0,0,0,17,0,11,0,11
api-rest-tp2,com.santiblanc.app.response,ErrorWrapper,0,13,0,0,0,6,0,3,0,3
api-rest-tp2,com.santiblanc.app.response,MessageWrapper,0,52,0,0,0,23,0,15,0,15
api-rest-tp2,com.santiblanc.app.response,LoginWrapper,0,13,0,0,0,6,0,3,0,3
api-rest-tp2,com.santiblanc.app,AuthFilter.HeaderMapRequestWrapper,80,0,6,0,19,0,8,0,5,0
api-rest-tp2,com.santiblanc.app,App,5,29,0,0,2,7,1,4,1,4
api-rest-tp2,com.santiblanc.app,AuthFilter,34,3,2,0,9,1,2,1,1,1
api-rest-tp2,com.santiblanc.app.util,NonExistingUserException,0,4,0,0,0,2,0,1,0,1
api-rest-tp2,com.santiblanc.app.util,AuthenticationData,0,17,0,0,0,7,0,5,0,5
api-rest-tp2,com.santiblanc.app.util,SessionData,48,62,4,4,9,18,3,7,1,5
api-rest-tp2,com.santiblanc.app.converter,MessageConverter,0,56,0,0,0,12,0,2,0,2
api-rest-tp2,com.santiblanc.app.converter,UserConverter,0,29,0,0,0,9,0,2,0,2
